1,(2.0147203998522+0j)
2,(0.605064212484962+0j)
3,(0.11825084034417928+0j)
4,(0.01857261405980554+0j)
5,(0.00250550513186516+0j)
6,(0.0002976356297395812+0j)
7,(3.154984745992531e-05+0j)
8,(3.0091619639837764e-06+0j)
9,(2.597016604594506e-07+0j)
10,(2.036087284770912e-08+0j)
11,(1.4541719594294164e-09+0j)
12,(9.478976504439545e-11+0j)
13,(5.646299157580305e-12+0j)
14,(3.0754517897032954e-13+0j)
15,(1.5318138778411466e-14+0j)
16,(7.013075863963973e-16+0j)
17,(3.0852922235197355e-17+0j)
18,(1.2819304068719834e-17+0j)
19,(-1.1900537431862141e-17+0j)
20,(9.620214664149315e-18+0j)
21,(-8.559004234775208e-18+1.7228826943895985e-18j)
22,(-8.559004234775208e-18-1.7228826943895985e-18j)
23,(4.2849623435071146e-18+3.3067434479758943e-18j)
24,(4.2849623435071146e-18-3.3067434479758943e-18j)
25,(4.75114223976959e-18+0j)
26,(4.20726887665495e-18+0j)
27,(3.058999674119777e-18+1.2479374141667685e-18j)
28,(3.058999674119777e-18-1.2479374141667685e-18j)
29,(-3.781099988045889e-18+3.3424009010378208e-18j)
30,(-3.781099988045889e-18-3.3424009010378208e-18j)
31,(-4.153848698785063e-18+0j)
32,(-3.2845941958356404e-18+8.083655980725866e-19j)
33,(-3.2845941958356404e-18-8.083655980725866e-19j)
34,(-9.92760094454922e-19+7.273765939784079e-19j)
35,(-9.92760094454922e-19-7.273765939784079e-19j)
