1,0.6167959724354695
2,0.11972706620713972
3,0.01874324252802013
4,0.002523320718752527
5,0.0002993183654281958
6,3.169409711778436e-05
7,3.0204167538355506e-06
8,2.605026702921891e-07
9,2.041295609064604e-08
10,1.4572690786890504e-09
11,9.49582605957072e-11
12,5.654688713749529e-12
13,3.079311800321429e-13
14,1.536504651464572e-14
15,1.1551200461703993e-15
16,9.235443611751115e-16
17,9.326796869051918e-16
18,9.433802037197227e-16
19,9.53801385696003e-16
20,9.64162990873048e-16
21,9.754469033360554e-16
22,9.873472440507803e-16
23,9.973498408730761e-16
24,1.0086070759654081e-15
25,1.0186328156562854e-15
26,1.0306301531481458e-15
27,1.0412705661403899e-15
28,1.0509274954692e-15
29,1.059640610035556e-15
30,1.0690922185781241e-15
31,1.0805934931718618e-15
32,1.0912706803181345e-15
33,1.101124522940099e-15
34,1.1102040509250079e-15
